cgpa,backlog,semester,department,course_id,employability_index,skills_count,placed
6.79,0,5,Mechanical,CLOUD,0.87,3,1
8.15,2,8,Electronics,AIML,0.9,2,1
6.17,0,8,Computer Science,WEB,0.78,8,1
6.25,1,5,Mechanical,AIML,0.9,5,1
8.19,0,6,Information Technology,CYB,0.83,6,1
6.37,0,6,Information Technology,DS,0.85,3,0
8.28,1,6,Electronics,CYB,0.83,7,1
5.87,0,5,Civil,DS,0.85,2,0
6.6,0,8,Information Technology,CLOUD,0.87,3,1
6.77,1,6,Computer Science,AIML,0.9,6,1
6.66,1,8,Civil,CYB,0.83,6,1
7.21,1,7,Mechanical,AIML,0.9,2,0
6.32,0,8,Information Technology,AIML,0.9,4,1
6.72,1,8,Civil,DS,0.85,3,1
6.98,0,5,Computer Science,DS,0.85,4,1
8.71,1,5,Information Technology,WEB,0.78,6,0
7.82,0,6,Computer Science,WEB,0.78,5,1
7.97,0,8,Information Technology,CYB,0.83,3,1
7.08,2,7,Electronics,DS,0.85,5,0
7.01,1,8,Information Technology,CLOUD,0.87,4,1
9.16,0,8,Civil,AIML,0.9,0,1
4.89,0,7,Electronics,DS,0.85,2,0
7.32,0,6,Civil,CLOUD,0.87,3,1
4.99,0,7,Computer Science,WEB,0.78,3,0
5.89,1,5,Information Technology,AIML,0.9,1,1
8.32,0,5,Civil,CLOUD,0.87,3,1
7.96,1,8,Information Technology,DS,0.85,7,1
6.79,0,6,Electronics,AIML,0.9,2,1
8.29,0,8,Civil,DS,0.85,7,1
7.63,0,5,Mechanical,AIML,0.9,4,1
4.49,0,6,Mechanical,CLOUD,0.87,4,0
5.78,1,7,Computer Science,CYB,0.83,3,0
9.51,0,8,Computer Science,DS,0.85,3,0
7.08,2,5,Electronics,WEB,0.78,7,0
7.05,2,8,Civil,DS,0.85,5,1
6.47,0,6,Information Technology,WEB,0.78,7,1
5.95,1,8,Civil,AIML,0.9,0,0
5.42,1,7,Information Technology,CLOUD,0.87,1,0
7.37,1,5,Civil,DS,0.85,5,0
7.84,0,5,Computer Science,CLOUD,0.87,3,1
8.13,3,5,Mechanical,AIML,0.9,5,1
9.71,0,5,Electronics,DS,0.85,2,1
6.72,1,7,Electronics,WEB,0.78,4,0
7.4,0,8,Electronics,CYB,0.83,3,1
6.66,0,8,Computer Science,AIML,0.9,2,1
6.9,2,6,Electronics,AIML,0.9,4,1
8.73,1,6,Mechanical,CLOUD,0.87,0,1
8.12,0,6,Information Technology,AIML,0.9,3,1
8.74,0,5,Electronics,CYB,0.83,2,0
7.16,0,5,Electronics,CLOUD,0.87,4,1
5.39,2,6,Mechanical,CLOUD,0.87,5,0
6.58,1,6,Mechanical,DS,0.85,2,0
6.85,0,6,Information Technology,DS,0.85,2,1
6.98,2,6,Information Technology,CLOUD,0.87,7,1
7.77,1,6,Electronics,AIML,0.9,7,1
6.77,0,6,Information Technology,CYB,0.83,4,1
9.24,2,7,Information Technology,AIML,0.9,5,1
7.67,0,7,Mechanical,CYB,0.83,5,1
7.31,3,8,Information Technology,CLOUD,0.87,2,0
6.46,0,8,Mechanical,AIML,0.9,2,0
7.26,2,6,Electronics,AIML,0.9,5,0
5.68,1,6,Electronics,CYB,0.83,4,0
7.92,1,6,Information Technology,DS,0.85,2,0
8.46,1,6,Mechanical,WEB,0.78,1,0
4.73,2,6,Information Technology,AIML,0.9,1,0
5.91,0,7,Electronics,AIML,0.9,3,1
5.57,1,7,Civil,CYB,0.83,3,0
6.37,0,8,Mechanical,AIML,0.9,4,0
6.3,0,6,Information Technology,CYB,0.83,2,1
6.78,2,6,Mechanical,WEB,0.78,1,0
5.89,0,6,Mechanical,WEB,0.78,7,1
6.6,0,8,Mechanical,WEB,0.78,3,1
6.81,1,5,Civil,DS,0.85,6,1
6.31,2,5,Information Technology,WEB,0.78,6,0
5.13,0,6,Mechanical,CYB,0.83,3,0
8.45,2,5,Civil,DS,0.85,4,0
7.31,1,8,Computer Science,DS,0.85,2,0
5.69,1,8,Mechanical,DS,0.85,6,1
4.88,0,5,Information Technology,CLOUD,0.87,5,1
6.81,2,8,Mechanical,DS,0.85,7,0
7.01,0,5,Electronics,CYB,0.83,4,1
7.45,0,8,Information Technology,WEB,0.78,1,1
7.47,0,6,Electronics,CLOUD,0.87,2,1
6.93,1,8,Mechanical,CLOUD,0.87,1,1
7.6,2,5,Electronics,DS,0.85,5,0
5.81,0,5,Mechanical,CLOUD,0.87,3,0
6.74,1,5,Information Technology,AIML,0.9,4,0
8.59,0,6,Civil,AIML,0.9,4,1
5.24,1,5,Information Technology,AIML,0.9,5,0
6.56,0,6,Electronics,WEB,0.78,2,1
7.44,0,5,Mechanical,AIML,0.9,3,0
5.57,1,8,Mechanical,CLOUD,0.87,6,0
10.0,0,8,Mechanical,CYB,0.83,3,1
7.32,0,5,Computer Science,AIML,0.9,3,1
8.18,1,7,Civil,DS,0.85,4,0
5.88,2,6,Computer Science,CYB,0.83,3,0
8.04,0,5,Computer Science,CLOUD,0.87,4,1
6.47,2,6,Mechanical,CLOUD,0.87,2,0
6.49,0,5,Electronics,CYB,0.83,5,1
7.43,0,7,Civil,CLOUD,0.87,3,0
6.55,0,7,Civil,DS,0.85,3,0
6.74,1,6,Mechanical,DS,0.85,2,0
7.19,0,7,Electronics,AIML,0.9,1,1
8.8,2,6,Electronics,CLOUD,0.87,7,1
8.15,0,5,Civil,DS,0.85,0,0
6.61,0,7,Civil,DS,0.85,5,0
7.06,0,8,Mechanical,WEB,0.78,1,0
7.37,2,7,Civil,DS,0.85,2,1
7.47,1,7,Electronics,CLOUD,0.87,2,0
7.26,3,8,Electronics,CYB,0.83,5,0
8.1,2,7,Electronics,AIML,0.9,3,1
8.27,0,6,Electronics,AIML,0.9,5,0
7.44,0,6,Electronics,DS,0.85,5,1
7.51,0,7,Mechanical,AIML,0.9,0,0
5.47,0,5,Electronics,AIML,0.9,3,0
6.62,0,8,Information Technology,DS,0.85,2,1
9.87,0,5,Civil,AIML,0.9,7,1
5.24,0,8,Computer Science,AIML,0.9,5,0
6.75,0,8,Computer Science,CYB,0.83,2,1
6.48,0,6,Information Technology,CYB,0.83,7,1
7.31,1,6,Computer Science,DS,0.85,7,0
9.84,0,8,Computer Science,WEB,0.78,2,1
7.26,1,7,Information Technology,DS,0.85,2,0
6.57,0,6,Electronics,AIML,0.9,2,1
7.78,0,6,Electronics,CYB,0.83,2,1
7.61,0,6,Civil,WEB,0.78,2,0
8.45,0,7,Information Technology,WEB,0.78,4,1
8.39,2,7,Information Technology,CLOUD,0.87,4,1
7.25,0,7,Information Technology,CYB,0.83,3,1
6.61,0,6,Civil,DS,0.85,4,1
8.4,0,8,Electronics,DS,0.85,4,1
7.33,1,8,Computer Science,WEB,0.78,2,0
8.12,0,5,Mechanical,WEB,0.78,5,1
3.97,0,5,Information Technology,AIML,0.9,3,0
10.0,0,5,Computer Science,WEB,0.78,3,1
8.26,0,5,Electronics,CYB,0.83,7,1
9.34,1,6,Computer Science,CLOUD,0.87,4,1
7.93,1,5,Computer Science,DS,0.85,6,1
8.09,0,8,Civil,WEB,0.78,4,0
7.13,0,5,Mechanical,WEB,0.78,1,1
9.0,2,6,Information Technology,CYB,0.83,5,1
8.5,0,8,Mechanical,AIML,0.9,1,1
9.14,0,7,Mechanical,CYB,0.83,4,1
3.98,0,7,Mechanical,CLOUD,0.87,4,1
6.72,0,8,Computer Science,AIML,0.9,2,1
7.74,2,6,Information Technology,CYB,0.83,2,0
8.11,0,5,Computer Science,CLOUD,0.87,5,1
4.57,0,5,Electronics,DS,0.85,4,0
6.96,1,6,Computer Science,CLOUD,0.87,8,0
8.58,1,6,Mechanical,WEB,0.78,4,0
6.35,0,5,Civil,CLOUD,0.87,3,1
6.05,1,7,Mechanical,CYB,0.83,5,0
6.87,1,6,Information Technology,CLOUD,0.87,2,0
7.83,0,6,Electronics,WEB,0.78,1,0
7.29,1,5,Information Technology,WEB,0.78,1,0
8.3,1,8,Electronics,DS,0.85,3,0
5.97,0,8,Electronics,DS,0.85,3,0
8.51,0,5,Mechanical,DS,0.85,3,1
8.18,1,5,Mechanical,DS,0.85,0,0
7.71,0,5,Mechanical,WEB,0.78,5,1
6.88,1,8,Electronics,CYB,0.83,7,1
6.74,2,6,Mechanical,AIML,0.9,1,0
5.68,3,6,Electronics,AIML,0.9,4,1
7.1,3,7,Civil,CYB,0.83,4,0
5.39,0,8,Mechanical,WEB,0.78,2,0
7.65,0,6,Computer Science,CLOUD,0.87,2,0
7.64,1,8,Mechanical,CLOUD,0.87,1,1
5.03,0,6,Electronics,WEB,0.78,1,0
9.16,2,7,Civil,DS,0.85,5,1
7.53,0,6,Mechanical,CLOUD,0.87,5,1
5.67,0,5,Mechanical,CLOUD,0.87,4,1
6.43,2,5,Computer Science,CLOUD,0.87,4,0
8.96,0,6,Civil,DS,0.85,4,1
7.23,0,5,Computer Science,CYB,0.83,5,1
7.35,0,5,Civil,WEB,0.78,2,1
8.85,1,5,Electronics,AIML,0.9,5,1
8.43,0,5,Mechanical,DS,0.85,5,1
9.34,0,7,Computer Science,WEB,0.78,6,1
7.17,3,5,Information Technology,CLOUD,0.87,2,0
6.31,3,8,Computer Science,DS,0.85,4,0
7.09,0,7,Mechanical,CLOUD,0.87,3,0
6.31,2,5,Mechanical,DS,0.85,4,0
6.12,1,8,Computer Science,DS,0.85,3,1
7.74,1,6,Civil,DS,0.85,0,1
6.04,2,8,Civil,CLOUD,0.87,5,1
8.33,0,7,Civil,WEB,0.78,6,1
6.02,1,6,Computer Science,WEB,0.78,3,0
7.23,0,6,Electronics,DS,0.85,7,1
7.29,1,5,Computer Science,CLOUD,0.87,2,0
7.87,2,5,Information Technology,CYB,0.83,3,1
5.04,2,6,Electronics,WEB,0.78,4,0
9.05,1,8,Information Technology,AIML,0.9,6,1
9.19,2,6,Computer Science,CYB,0.83,1,1
6.82,1,5,Civil,DS,0.85,2,0
7.4,2,7,Mechanical,AIML,0.9,2,1
7.35,0,5,Civil,DS,0.85,3,1
8.22,1,7,Computer Science,CLOUD,0.87,1,0
7.1,1,8,Mechanical,CYB,0.83,6,1
6.84,0,6,Mechanical,CLOUD,0.87,4,1
4.16,0,6,Civil,DS,0.85,3,0
6.52,1,7,Information Technology,CYB,0.83,6,1
7.28,2,8,Information Technology,WEB,0.78,5,1
6.78,0,6,Electronics,CYB,0.83,3,0
8.06,2,8,Mechanical,WEB,0.78,4,1
6.84,0,7,Electronics,CYB,0.83,5,0
7.89,1,7,Electronics,AIML,0.9,4,1
8.57,0,7,Civil,CYB,0.83,3,1
7.42,0,7,Computer Science,WEB,0.78,2,0
8.96,1,5,Mechanical,DS,0.85,4,0
4.68,0,6,Computer Science,CLOUD,0.87,4,1
8.1,2,7,Information Technology,WEB,0.78,2,0
7.19,1,5,Civil,CYB,0.83,5,0
8.52,0,8,Information Technology,AIML,0.9,6,1
7.29,1,8,Computer Science,CYB,0.83,7,1
7.18,0,8,Information Technology,CLOUD,0.87,3,1
7.53,0,5,Information Technology,WEB,0.78,4,1
7.8,0,6,Mechanical,CYB,0.83,5,1
5.56,0,6,Mechanical,AIML,0.9,6,1
6.34,2,8,Electronics,WEB,0.78,1,0
5.53,0,6,Information Technology,AIML,0.9,3,1
5.86,0,8,Electronics,CYB,0.83,1,1
7.65,3,6,Civil,WEB,0.78,3,0
7.88,2,8,Information Technology,CLOUD,0.87,2,0
6.96,0,5,Mechanical,DS,0.85,2,0
5.39,0,5,Civil,CYB,0.83,7,1
7.97,0,8,Computer Science,AIML,0.9,6,1
7.54,0,6,Mechanical,CYB,0.83,3,0
10.0,2,6,Civil,WEB,0.78,6,1
7.17,0,5,Electronics,CLOUD,0.87,5,0
7.14,0,7,Computer Science,CLOUD,0.87,2,1
8.81,0,7,Electronics,CLOUD,0.87,4,1
7.56,0,5,Electronics,WEB,0.78,5,0
6.09,0,7,Civil,WEB,0.78,7,0
8.29,0,6,Mechanical,AIML,0.9,0,1
5.94,0,8,Mechanical,CYB,0.83,7,1
8.35,0,5,Electronics,DS,0.85,3,1
7.9,0,7,Mechanical,WEB,0.78,2,1
6.49,1,6,Computer Science,CLOUD,0.87,4,1
8.29,2,7,Mechanical,WEB,0.78,3,0
5.78,0,6,Computer Science,AIML,0.9,7,0
7.46,0,5,Electronics,DS,0.85,4,0
8.88,0,7,Electronics,DS,0.85,3,1
6.04,0,5,Electronics,CYB,0.83,2,0
8.92,0,7,Information Technology,CYB,0.83,4,1
5.56,2,6,Civil,WEB,0.78,5,0
5.62,0,7,Computer Science,AIML,0.9,6,1
6.83,1,8,Electronics,AIML,0.9,7,0
6.89,1,7,Civil,WEB,0.78,5,1
7.57,0,8,Information Technology,CLOUD,0.87,5,1
7.84,2,6,Civil,CLOUD,0.87,4,1
7.71,1,5,Electronics,WEB,0.78,5,0
8.57,1,7,Information Technology,AIML,0.9,5,1
5.62,0,8,Electronics,AIML,0.9,7,0
3.93,0,5,Mechanical,WEB,0.78,1,0
8.02,0,5,Electronics,CLOUD,0.87,4,1
7.66,0,7,Information Technology,CYB,0.83,3,0
7.37,0,8,Civil,WEB,0.78,3,1
8.56,0,7,Information Technology,AIML,0.9,5,0
6.77,0,6,Civil,CLOUD,0.87,4,1
7.64,1,6,Civil,DS,0.85,7,1
7.73,0,7,Mechanical,AIML,0.9,2,1
7.15,0,8,Electronics,CYB,0.83,6,0
5.95,2,6,Computer Science,CYB,0.83,3,0
6.55,1,8,Electronics,DS,0.85,2,0
7.55,0,7,Information Technology,WEB,0.78,4,1
7.83,0,7,Civil,CLOUD,0.87,2,1
7.67,0,7,Computer Science,DS,0.85,4,1
9.0,2,5,Computer Science,DS,0.85,6,0
8.34,2,5,Information Technology,CYB,0.83,2,0
8.86,0,7,Computer Science,AIML,0.9,2,1
6.33,0,8,Computer Science,WEB,0.78,3,1
9.52,2,6,Civil,CLOUD,0.87,2,1
7.1,0,5,Civil,AIML,0.9,2,1
7.88,3,6,Computer Science,WEB,0.78,3,0
7.98,0,5,Mechanical,WEB,0.78,5,1
6.54,0,7,Civil,WEB,0.78,3,1
6.68,1,6,Mechanical,DS,0.85,4,0
6.61,0,7,Civil,DS,0.85,3,0
8.63,1,5,Computer Science,CYB,0.83,1,0
5.92,3,5,Mechanical,CLOUD,0.87,3,0
6.08,0,8,Electronics,CLOUD,0.87,3,1
5.99,0,5,Civil,WEB,0.78,1,0
8.48,0,7,Civil,DS,0.85,1,1
7.25,0,6,Civil,DS,0.85,4,1
6.81,0,5,Electronics,CYB,0.83,1,1
7.72,1,5,Electronics,CLOUD,0.87,1,1
6.7,0,7,Mechanical,CYB,0.83,3,0
7.86,2,5,Information Technology,DS,0.85,2,0
5.07,0,7,Computer Science,WEB,0.78,3,1
8.03,2,7,Electronics,CYB,0.83,3,1
5.64,0,6,Information Technology,CLOUD,0.87,0,0
8.87,0,8,Electronics,CYB,0.83,7,1
6.48,0,6,Mechanical,CLOUD,0.87,4,1
9.06,0,7,Computer Science,AIML,0.9,3,1
6.07,1,8,Mechanical,AIML,0.9,6,1
4.61,0,8,Mechanical,AIML,0.9,5,1
5.77,0,5,Information Technology,AIML,0.9,3,0
6.91,1,8,Mechanical,AIML,0.9,5,1
8.6,0,6,Civil,DS,0.85,0,0
6.8,0,8,Civil,AIML,0.9,5,0
7.86,1,5,Information Technology,WEB,0.78,5,1
5.88,1,7,Civil,AIML,0.9,0,0
7.21,1,8,Civil,AIML,0.9,3,1
5.59,0,8,Civil,WEB,0.78,6,1
8.54,0,5,Electronics,CLOUD,0.87,4,1
8.02,0,8,Electronics,CLOUD,0.87,4,1
5.59,1,6,Information Technology,AIML,0.9,5,1
7.5,0,8,Information Technology,DS,0.85,7,1
6.37,0,7,Information Technology,DS,0.85,2,0
6.41,0,5,Computer Science,WEB,0.78,1,0
6.02,1,5,Information Technology,WEB,0.78,7,0
8.71,0,6,Electronics,DS,0.85,5,1
8.23,0,8,Computer Science,WEB,0.78,3,1
6.69,0,8,Information Technology,CYB,0.83,3,1
7.49,0,6,Civil,WEB,0.78,2,1
7.69,0,5,Information Technology,CLOUD,0.87,0,0
7.23,0,8,Electronics,DS,0.85,4,1
6.71,2,5,Computer Science,WEB,0.78,1,1
6.55,1,6,Electronics,WEB,0.78,3,0
6.98,0,5,Information Technology,AIML,0.9,2,1
6.11,0,6,Mechanical,WEB,0.78,2,0
7.09,0,5,Electronics,CYB,0.83,6,1
7.16,1,6,Computer Science,CLOUD,0.87,4,1
6.5,0,5,Civil,WEB,0.78,3,1
7.38,1,6,Civil,AIML,0.9,0,1
9.21,1,6,Information Technology,WEB,0.78,5,0
5.71,1,5,Electronics,CLOUD,0.87,3,1
7.28,2,5,Information Technology,AIML,0.9,5,1
5.84,0,7,Electronics,CLOUD,0.87,6,0
10.0,0,8,Mechanical,DS,0.85,7,1
6.9,0,7,Information Technology,WEB,0.78,5,1
7.28,0,8,Computer Science,AIML,0.9,0,0
6.68,0,5,Electronics,WEB,0.78,4,1
7.66,0,8,Information Technology,WEB,0.78,3,0
7.13,0,6,Mechanical,CLOUD,0.87,1,1
8.63,0,5,Computer Science,WEB,0.78,7,1
7.71,0,8,Civil,AIML,0.9,4,1
7.65,0,7,Mechanical,WEB,0.78,3,0
8.24,0,7,Computer Science,AIML,0.9,3,0
5.98,0,7,Mechanical,AIML,0.9,5,1
8.13,0,7,Electronics,CYB,0.83,5,1
6.33,0,6,Computer Science,CYB,0.83,0,1
8.3,0,6,Electronics,CYB,0.83,6,1
6.18,3,6,Information Technology,DS,0.85,3,0
7.24,2,7,Electronics,CLOUD,0.87,1,0
8.53,2,7,Mechanical,CYB,0.83,6,1
6.91,1,8,Civil,CYB,0.83,4,0
7.12,0,5,Civil,CLOUD,0.87,2,0
6.94,0,5,Electronics,WEB,0.78,3,1
5.86,0,5,Mechanical,WEB,0.78,5,0
7.31,2,5,Mechanical,AIML,0.9,2,0
6.68,0,7,Electronics,CYB,0.83,2,0
7.5,0,6,Information Technology,DS,0.85,0,1
5.4,0,5,Civil,WEB,0.78,3,0
7.6,1,8,Information Technology,CYB,0.83,0,1
7.12,1,8,Mechanical,CLOUD,0.87,3,1
8.09,0,7,Computer Science,CYB,0.83,5,1
7.91,0,5,Electronics,CYB,0.83,1,1
6.8,2,7,Mechanical,CLOUD,0.87,4,1
6.29,0,6,Computer Science,CLOUD,0.87,4,0
5.34,1,5,Electronics,AIML,0.9,4,0
4.95,2,7,Mechanical,WEB,0.78,1,0
7.04,0,8,Electronics,AIML,0.9,5,0
7.29,0,6,Civil,WEB,0.78,2,0
6.19,0,6,Information Technology,DS,0.85,4,1
9.26,0,8,Electronics,CYB,0.83,6,1
7.13,1,7,Civil,AIML,0.9,4,1
4.92,0,5,Electronics,AIML,0.9,6,0
7.15,0,6,Mechanical,CYB,0.83,3,1
6.95,0,8,Computer Science,WEB,0.78,2,0
6.35,0,6,Electronics,CLOUD,0.87,5,1
7.32,1,7,Mechanical,WEB,0.78,0,0
6.16,0,8,Information Technology,AIML,0.9,1,0
8.24,0,7,Computer Science,CYB,0.83,2,1
6.43,0,8,Information Technology,CYB,0.83,3,1
7.23,0,5,Mechanical,DS,0.85,4,0
7.81,2,7,Computer Science,AIML,0.9,6,1
7.25,0,7,Civil,WEB,0.78,3,0
7.08,1,6,Electronics,CYB,0.83,3,0
5.89,2,7,Mechanical,WEB,0.78,3,0
5.0,1,6,Computer Science,CYB,0.83,2,0
7.2,1,6,Electronics,CYB,0.83,9,1
7.09,0,8,Information Technology,CLOUD,0.87,4,1
9.37,1,5,Mechanical,CLOUD,0.87,4,1
8.16,1,8,Mechanical,AIML,0.9,4,1
8.18,0,5,Computer Science,DS,0.85,3,1
4.77,0,8,Computer Science,CYB,0.83,1,1
5.82,0,6,Mechanical,DS,0.85,3,1
6.02,0,6,Information Technology,DS,0.85,6,1
7.18,0,5,Information Technology,AIML,0.9,4,1
10.0,0,5,Civil,WEB,0.78,1,1
5.86,1,5,Computer Science,DS,0.85,5,0
6.56,2,8,Computer Science,AIML,0.9,4,0
6.02,0,5,Computer Science,CYB,0.83,2,1
9.18,0,5,Information Technology,CYB,0.83,5,1
6.69,0,8,Computer Science,CLOUD,0.87,3,1
8.81,1,5,Computer Science,WEB,0.78,2,1
4.59,0,6,Computer Science,CLOUD,0.87,4,1
4.61,3,6,Computer Science,AIML,0.9,7,0
8.95,2,5,Information Technology,WEB,0.78,2,0
7.18,1,7,Computer Science,CYB,0.83,3,1
8.86,0,8,Civil,WEB,0.78,7,1
7.2,2,5,Electronics,WEB,0.78,4,1
7.32,0,7,Computer Science,WEB,0.78,3,1
6.97,1,5,Mechanical,CLOUD,0.87,5,1
9.61,0,5,Information Technology,AIML,0.9,4,1
6.65,1,6,Civil,WEB,0.78,1,0
7.21,1,5,Computer Science,WEB,0.78,3,0
6.1,0,6,Computer Science,WEB,0.78,1,1
7.01,0,5,Electronics,CYB,0.83,6,1
4.74,0,8,Information Technology,CYB,0.83,5,1
6.72,0,5,Mechanical,AIML,0.9,1,1
7.32,0,6,Electronics,AIML,0.9,3,0
7.67,1,7,Electronics,AIML,0.9,4,0
8.06,1,5,Civil,WEB,0.78,3,1
7.58,0,7,Electronics,WEB,0.78,2,0
7.19,1,5,Information Technology,CYB,0.83,5,0
8.9,1,6,Mechanical,CYB,0.83,4,1
7.75,0,8,Electronics,CYB,0.83,4,1
8.38,1,8,Computer Science,DS,0.85,2,0
6.82,0,6,Computer Science,DS,0.85,3,0
6.76,0,6,Mechanical,CYB,0.83,3,1
8.57,0,6,Civil,DS,0.85,5,1
5.86,0,8,Information Technology,WEB,0.78,5,1
6.8,2,5,Computer Science,WEB,0.78,3,0
8.94,0,5,Mechanical,DS,0.85,3,1
6.86,0,7,Information Technology,WEB,0.78,0,0
