cgpa,backlog,semester,department,course_id,course_min_cgpa,course_max_backlog,eligible
8.43,2,8,Civil,CYB,7.0,1,0
8.43,2,8,Civil,CLOUD,6.5,1,0
8.26,2,7,Civil,AIML,7.5,0,0
8.26,2,7,Civil,DS,7.0,1,0
8.26,2,7,Civil,WEB,6.0,2,1
8.26,2,7,Civil,CYB,7.0,1,0
8.26,2,7,Civil,CLOUD,6.5,1,0
5.78,0,3,Electronics,AIML,7.5,0,0
5.78,0,3,Electronics,DS,7.0,1,0
5.78,0,3,Electronics,WEB,6.0,2,0
5.78,0,3,Electronics,CYB,7.0,1,0
5.78,0,3,Electronics,CLOUD,6.5,1,0
6.84,1,7,Computer Science,AIML,7.5,0,0
6.84,1,7,Computer Science,DS,7.0,1,1
6.84,1,7,Computer Science,WEB,6.0,2,1
6.84,1,7,Computer Science,CYB,7.0,1,0
6.84,1,7,Computer Science,CLOUD,6.5,1,0
7.15,0,4,Mechanical,AIML,7.5,0,0
7.15,0,4,Mechanical,DS,7.0,1,1
7.15,0,4,Mechanical,WEB,6.0,2,1
7.15,0,4,Mechanical,CYB,7.0,1,1
7.15,0,4,Mechanical,CLOUD,6.5,1,1
4.37,0,7,Information Technology,AIML,7.5,0,0
4.37,0,7,Information Technology,DS,7.0,1,0
4.37,0,7,Information Technology,WEB,6.0,2,0
4.37,0,7,Information Technology,CYB,7.0,1,0
4.37,0,7,Information Technology,CLOUD,6.5,1,0
5.44,2,5,Mechanical,AIML,7.5,0,0
5.44,2,5,Mechanical,DS,7.0,1,0
5.44,2,5,Mechanical,WEB,6.0,2,0
5.44,2,5,Mechanical,CYB,7.0,1,0
5.44,2,5,Mechanical,CLOUD,6.5,1,0
6.06,1,3,Electronics,AIML,7.5,0,0
6.06,1,3,Electronics,DS,7.0,1,1
6.06,1,3,Electronics,WEB,6.0,2,1
6.06,1,3,Electronics,CYB,7.0,1,0
6.06,1,3,Electronics,CLOUD,6.5,1,1
6.88,0,3,Computer Science,AIML,7.5,0,0
6.88,0,3,Computer Science,DS,7.0,1,1
6.88,0,3,Computer Science,WEB,6.0,2,1
6.88,0,3,Computer Science,CYB,7.0,1,0
6.88,0,3,Computer Science,CLOUD,6.5,1,1
6.56,0,4,Civil,AIML,7.5,0,0
6.56,0,4,Civil,DS,7.0,1,0
6.56,0,4,Civil,WEB,6.0,2,1
6.56,0,4,Civil,CYB,7.0,1,0
6.56,0,4,Civil,CLOUD,6.5,1,1
5.69,1,3,Computer Science,AIML,7.5,0,0
5.69,1,3,Computer Science,DS,7.0,1,0
5.69,1,3,Computer Science,WEB,6.0,2,0
5.69,1,3,Computer Science,CYB,7.0,1,0
5.69,1,3,Computer Science,CLOUD,6.5,1,0
7.28,0,8,Computer Science,AIML,7.5,0,1
7.28,0,8,Computer Science,DS,7.0,1,1
7.28,0,8,Computer Science,WEB,6.0,2,1
7.28,0,8,Computer Science,CYB,7.0,1,1
7.28,0,8,Computer Science,CLOUD,6.5,1,1
7.66,1,7,Mechanical,AIML,7.5,0,0
7.66,1,7,Mechanical,DS,7.0,1,1
7.66,1,7,Mechanical,WEB,6.0,2,1
7.66,1,7,Mechanical,CYB,7.0,1,1
7.66,1,7,Mechanical,CLOUD,6.5,1,1
9.1,2,7,Computer Science,AIML,7.5,0,0
9.1,2,7,Computer Science,DS,7.0,1,0
9.1,2,7,Computer Science,WEB,6.0,2,0
9.1,2,7,Computer Science,CYB,7.0,1,0
9.1,2,7,Computer Science,CLOUD,6.5,1,0
9.47,0,3,Information Technology,AIML,7.5,0,1
9.47,0,3,Information Technology,DS,7.0,1,1
9.47,0,3,Information Technology,WEB,6.0,2,1
9.47,0,3,Information Technology,CYB,7.0,1,1
9.47,0,3,Information Technology,CLOUD,6.5,1,1
6.1,1,6,Computer Science,AIML,7.5,0,0
6.1,1,6,Computer Science,DS,7.0,1,0
6.1,1,6,Computer Science,WEB,6.0,2,0
6.1,1,6,Computer Science,CYB,7.0,1,0
6.1,1,6,Computer Science,CLOUD,6.5,1,0
7.23,0,8,Civil,AIML,7.5,0,0
7.23,0,8,Civil,DS,7.0,1,1
7.23,0,8,Civil,WEB,6.0,2,1
7.23,0,8,Civil,CYB,7.0,1,1
7.23,0,8,Civil,CLOUD,6.5,1,1
7.09,1,8,Civil,AIML,7.5,0,0
7.09,1,8,Civil,DS,7.0,1,0
7.09,1,8,Civil,WEB,6.0,2,1
7.09,1,8,Civil,CYB,7.0,1,1
7.09,1,8,Civil,CLOUD,6.5,1,0
4.11,1,7,Information Technology,AIML,7.5,0,0
4.11,1,7,Information Technology,DS,7.0,1,1
4.11,1,7,Information Technology,WEB,6.0,2,0
4.11,1,7,Information Technology,CYB,7.0,1,0
4.11,1,7,Information Technology,CLOUD,6.5,1,0
7.44,1,4,Mechanical,AIML,7.5,0,1
7.44,1,4,Mechanical,DS,7.0,1,1
7.44,1,4,Mechanical,WEB,6.0,2,1
7.44,1,4,Mechanical,CYB,7.0,1,1
7.44,1,4,Mechanical,CLOUD,6.5,1,1
6.01,0,7,Civil,AIML,7.5,0,0
6.01,0,7,Civil,DS,7.0,1,0
6.01,0,7,Civil,WEB,6.0,2,1
6.01,0,7,Civil,CYB,7.0,1,0
6.01,0,7,Civil,CLOUD,6.5,1,0
7.58,3,4,Electronics,AIML,7.5,0,0
7.58,3,4,Electronics,DS,7.0,1,0
7.58,3,4,Electronics,WEB,6.0,2,0
7.58,3,4,Electronics,CYB,7.0,1,0
7.58,3,4,Electronics,CLOUD,6.5,1,0
6.48,0,5,Computer Science,AIML,7.5,0,1
6.48,0,5,Computer Science,DS,7.0,1,0
6.48,0,5,Computer Science,WEB,6.0,2,1
6.48,0,5,Computer Science,CYB,7.0,1,0
6.48,0,5,Computer Science,CLOUD,6.5,1,0
6.45,0,7,Information Technology,AIML,7.5,0,0
6.45,0,7,Information Technology,DS,7.0,1,0
6.45,0,7,Information Technology,WEB,6.0,2,1
6.45,0,7,Information Technology,CYB,7.0,1,0
6.45,0,7,Information Technology,CLOUD,6.5,1,0
6.71,1,4,Electronics,AIML,7.5,0,0
6.71,1,4,Electronics,DS,7.0,1,0
6.71,1,4,Electronics,WEB,6.0,2,1
6.71,1,4,Electronics,CYB,7.0,1,0
6.71,1,4,Electronics,CLOUD,6.5,1,1
5.79,4,8,Civil,AIML,7.5,0,0
5.79,4,8,Civil,DS,7.0,1,0
5.79,4,8,Civil,WEB,6.0,2,1
5.79,4,8,Civil,CYB,7.0,1,0
5.79,4,8,Civil,CLOUD,6.5,1,0
7.45,0,8,Computer Science,AIML,7.5,0,0
7.45,0,8,Computer Science,DS,7.0,1,1
7.45,0,8,Computer Science,WEB,6.0,2,1
7.45,0,8,Computer Science,CYB,7.0,1,1
7.45,0,8,Computer Science,CLOUD,6.5,1,1
7.43,1,3,Civil,AIML,7.5,0,0
7.43,1,3,Civil,DS,7.0,1,1
7.43,1,3,Civil,WEB,6.0,2,1
7.43,1,3,Civil,CYB,7.0,1,1
7.43,1,3,Civil,CLOUD,6.5,1,1
6.03,0,7,Mechanical,AIML,7.5,0,0
6.03,0,7,Mechanical,DS,7.0,1,0
6.03,0,7,Mechanical,WEB,6.0,2,1
6.03,0,7,Mechanical,CYB,7.0,1,0
6.03,0,7,Mechanical,CLOUD,6.5,1,0
8.75,1,5,Computer Science,AIML,7.5,0,0
8.75,1,5,Computer Science,DS,7.0,1,0
8.75,1,5,Computer Science,WEB,6.0,2,1
8.75,1,5,Computer Science,CYB,7.0,1,1
8.75,1,5,Computer Science,CLOUD,6.5,1,1
6.84,3,7,Mechanical,AIML,7.5,0,0
6.84,3,7,Mechanical,DS,7.0,1,0
6.84,3,7,Mechanical,WEB,6.0,2,0
6.84,3,7,Mechanical,CYB,7.0,1,1
6.84,3,7,Mechanical,CLOUD,6.5,1,0
8.87,0,4,Civil,AIML,7.5,0,0
8.87,0,4,Civil,DS,7.0,1,1
8.87,0,4,Civil,WEB,6.0,2,1
8.87,0,4,Civil,CYB,7.0,1,1
8.87,0,4,Civil,CLOUD,6.5,1,1
5.88,2,6,Information Technology,AIML,7.5,0,0
5.88,2,6,Information Technology,DS,7.0,1,0
5.88,2,6,Information Technology,WEB,6.0,2,1
5.88,2,6,Information Technology,CYB,7.0,1,0
5.88,2,6,Information Technology,CLOUD,6.5,1,0
5.01,3,3,Electronics,AIML,7.5,0,0
5.01,3,3,Electronics,DS,7.0,1,0
5.01,3,3,Electronics,WEB,6.0,2,0
5.01,3,3,Electronics,CYB,7.0,1,0
5.01,3,3,Electronics,CLOUD,6.5,1,0
7.24,2,3,Electronics,AIML,7.5,0,0
7.24,2,3,Electronics,DS,7.0,1,0
7.24,2,3,Electronics,WEB,6.0,2,1
7.24,2,3,Electronics,CYB,7.0,1,0
7.24,2,3,Electronics,CLOUD,6.5,1,0
8.69,3,4,Information Technology,AIML,7.5,0,0
8.69,3,4,Information Technology,DS,7.0,1,0
8.69,3,4,Information Technology,WEB,6.0,2,0
8.69,3,4,Information Technology,CYB,7.0,1,0
8.69,3,4,Information Technology,CLOUD,6.5,1,0
7.21,0,8,Electronics,AIML,7.5,0,0
7.21,0,8,Electronics,DS,7.0,1,1
7.21,0,8,Electronics,WEB,6.0,2,1
7.21,0,8,Electronics,CYB,7.0,1,1
7.21,0,8,Electronics,CLOUD,6.5,1,1
6.91,0,4,Computer Science,AIML,7.5,0,0
6.91,0,4,Computer Science,DS,7.0,1,1
6.91,0,4,Computer Science,WEB,6.0,2,1
6.91,0,4,Computer Science,CYB,7.0,1,0
6.91,0,4,Computer Science,CLOUD,6.5,1,1
7.91,3,5,Electronics,AIML,7.5,0,0
7.91,3,5,Electronics,DS,7.0,1,0
7.91,3,5,Electronics,WEB,6.0,2,0
7.91,3,5,Electronics,CYB,7.0,1,0
7.91,3,5,Electronics,CLOUD,6.5,1,0
8.13,0,4,Computer Science,AIML,7.5,0,1
8.13,0,4,Computer Science,DS,7.0,1,1
8.13,0,4,Computer Science,WEB,6.0,2,1
8.13,0,4,Computer Science,CYB,7.0,1,1
8.13,0,4,Computer Science,CLOUD,6.5,1,1
6.16,1,3,Electronics,AIML,7.5,0,0
6.16,1,3,Electronics,DS,7.0,1,0
6.16,1,3,Electronics,WEB,6.0,2,1
6.16,1,3,Electronics,CYB,7.0,1,0
6.16,1,3,Electronics,CLOUD,6.5,1,0
6.85,1,5,Information Technology,AIML,7.5,0,0
6.85,1,5,Information Technology,DS,7.0,1,0
6.85,1,5,Information Technology,WEB,6.0,2,1
6.85,1,5,Information Technology,CYB,7.0,1,0
6.85,1,5,Information Technology,CLOUD,6.5,1,0
6.02,0,5,Mechanical,AIML,7.5,0,0
6.02,0,5,Mechanical,DS,7.0,1,0
6.02,0,5,Mechanical,WEB,6.0,2,1
6.02,0,5,Mechanical,CYB,7.0,1,0
6.02,0,5,Mechanical,CLOUD,6.5,1,0
5.72,2,5,Computer Science,AIML,7.5,0,0
5.72,2,5,Computer Science,DS,7.0,1,0
5.72,2,5,Computer Science,WEB,6.0,2,0
5.72,2,5,Computer Science,CYB,7.0,1,0
5.72,2,5,Computer Science,CLOUD,6.5,1,0
9.96,1,7,Information Technology,AIML,7.5,0,0
9.96,1,7,Information Technology,DS,7.0,1,1
9.96,1,7,Information Technology,WEB,6.0,2,1
9.96,1,7,Information Technology,CYB,7.0,1,0
9.96,1,7,Information Technology,CLOUD,6.5,1,1
6.46,2,3,Electronics,AIML,7.5,0,0
6.46,2,3,Electronics,DS,7.0,1,0
6.46,2,3,Electronics,WEB,6.0,2,1
6.46,2,3,Electronics,CYB,7.0,1,0
6.46,2,3,Electronics,CLOUD,6.5,1,0
6.07,2,7,Information Technology,AIML,7.5,0,0
6.07,2,7,Information Technology,DS,7.0,1,0
6.07,2,7,Information Technology,WEB,6.0,2,1
6.07,2,7,Information Technology,CYB,7.0,1,0
6.07,2,7,Information Technology,CLOUD,6.5,1,0
6.35,0,8,Information Technology,AIML,7.5,0,0
6.35,0,8,Information Technology,DS,7.0,1,0
6.35,0,8,Information Technology,WEB,6.0,2,1
6.35,0,8,Information Technology,CYB,7.0,1,0
6.35,0,8,Information Technology,CLOUD,6.5,1,0
6.96,0,5,Information Technology,AIML,7.5,0,0
6.96,0,5,Information Technology,DS,7.0,1,0
6.96,0,5,Information Technology,WEB,6.0,2,1
6.96,0,5,Information Technology,CYB,7.0,1,0
6.96,0,5,Information Technology,CLOUD,6.5,1,1
5.63,1,4,Civil,AIML,7.5,0,0
5.63,1,4,Civil,DS,7.0,1,0
5.63,1,4,Civil,WEB,6.0,2,0
5.63,1,4,Civil,CYB,7.0,1,0
5.63,1,4,Civil,CLOUD,6.5,1,0
7.26,1,7,Civil,AIML,7.5,0,0
7.26,1,7,Civil,DS,7.0,1,1
7.26,1,7,Civil,WEB,6.0,2,1
7.26,1,7,Civil,CYB,7.0,1,1
7.26,1,7,Civil,CLOUD,6.5,1,1
7.14,1,3,Computer Science,AIML,7.5,0,0
7.14,1,3,Computer Science,DS,7.0,1,1
7.14,1,3,Computer Science,WEB,6.0,2,1
7.14,1,3,Computer Science,CYB,7.0,1,1
7.14,1,3,Computer Science,CLOUD,6.5,1,1
8.21,1,8,Civil,AIML,7.5,0,0
8.21,1,8,Civil,DS,7.0,1,1
8.21,1,8,Civil,WEB,6.0,2,1
8.21,1,8,Civil,CYB,7.0,1,1
8.21,1,8,Civil,CLOUD,6.5,1,1
7.07,3,3,Computer Science,AIML,7.5,0,0
7.07,3,3,Computer Science,DS,7.0,1,0
7.07,3,3,Computer Science,WEB,6.0,2,0
7.07,3,3,Computer Science,CYB,7.0,1,0
7.07,3,3,Computer Science,CLOUD,6.5,1,0
7.67,0,6,Computer Science,AIML,7.5,0,1
7.67,0,6,Computer Science,DS,7.0,1,1
7.67,0,6,Computer Science,WEB,6.0,2,1
7.67,0,6,Computer Science,CYB,7.0,1,1
7.67,0,6,Computer Science,CLOUD,6.5,1,1
7.57,0,4,Mechanical,AIML,7.5,0,1
7.57,0,4,Mechanical,DS,7.0,1,1
7.57,0,4,Mechanical,WEB,6.0,2,1
7.57,0,4,Mechanical,CYB,7.0,1,1
7.57,0,4,Mechanical,CLOUD,6.5,1,1
8.74,0,6,Civil,AIML,7.5,0,1
8.74,0,6,Civil,DS,7.0,1,1
8.74,0,6,Civil,WEB,6.0,2,1
8.74,0,6,Civil,CYB,7.0,1,1
8.74,0,6,Civil,CLOUD,6.5,1,1
8.07,0,7,Mechanical,AIML,7.5,0,1
8.07,0,7,Mechanical,DS,7.0,1,1
8.07,0,7,Mechanical,WEB,6.0,2,1
8.07,0,7,Mechanical,CYB,7.0,1,1
8.07,0,7,Mechanical,CLOUD,6.5,1,1
6.94,0,5,Information Technology,AIML,7.5,0,0
6.94,0,5,Information Technology,DS,7.0,1,0
6.94,0,5,Information Technology,WEB,6.0,2,1
6.94,0,5,Information Technology,CYB,7.0,1,0
6.94,0,5,Information Technology,CLOUD,6.5,1,1
6.04,1,6,Computer Science,AIML,7.5,0,0
6.04,1,6,Computer Science,DS,7.0,1,0
6.04,1,6,Computer Science,WEB,6.0,2,1
6.04,1,6,Computer Science,CYB,7.0,1,0
6.04,1,6,Computer Science,CLOUD,6.5,1,0
7.65,1,6,Information Technology,AIML,7.5,0,0
7.65,1,6,Information Technology,DS,7.0,1,0
7.65,1,6,Information Technology,WEB,6.0,2,1
7.65,1,6,Information Technology,CYB,7.0,1,1
7.65,1,6,Information Technology,CLOUD,6.5,1,1
6.24,1,6,Mechanical,AIML,7.5,0,0
6.24,1,6,Mechanical,DS,7.0,1,0
6.24,1,6,Mechanical,WEB,6.0,2,1
6.24,1,6,Mechanical,CYB,7.0,1,0
6.24,1,6,Mechanical,CLOUD,6.5,1,0
7.12,0,3,Electronics,AIML,7.5,0,0
7.12,0,3,Electronics,DS,7.0,1,1
7.12,0,3,Electronics,WEB,6.0,2,1
7.12,0,3,Electronics,CYB,7.0,1,1
7.12,0,3,Electronics,CLOUD,6.5,1,1
7.83,0,8,Civil,AIML,7.5,0,1
7.83,0,8,Civil,DS,7.0,1,1
7.83,0,8,Civil,WEB,6.0,2,1
7.83,0,8,Civil,CYB,7.0,1,1
7.83,0,8,Civil,CLOUD,6.5,1,1
8.21,0,5,Mechanical,AIML,7.5,0,1
8.21,0,5,Mechanical,DS,7.0,1,1
8.21,0,5,Mechanical,WEB,6.0,2,1
8.21,0,5,Mechanical,CYB,7.0,1,1
8.21,0,5,Mechanical,CLOUD,6.5,1,1
5.52,2,6,Information Technology,AIML,7.5,0,0
5.52,2,6,Information Technology,DS,7.0,1,0
5.52,2,6,Information Technology,WEB,6.0,2,0
5.52,2,6,Information Technology,CYB,7.0,1,0
5.52,2,6,Information Technology,CLOUD,6.5,1,0
10.0,0,7,Computer Science,AIML,7.5,0,1
10.0,0,7,Computer Science,DS,7.0,1,1
10.0,0,7,Computer Science,WEB,6.0,2,1
10.0,0,7,Computer Science,CYB,7.0,1,1
10.0,0,7,Computer Science,CLOUD,6.5,1,1
5.39,0,3,Mechanical,AIML,7.5,0,0
5.39,0,3,Mechanical,DS,7.0,1,0
5.39,0,3,Mechanical,WEB,6.0,2,0
5.39,0,3,Mechanical,CYB,7.0,1,0
5.39,0,3,Mechanical,CLOUD,6.5,1,0
6.59,1,6,Electronics,AIML,7.5,0,0
6.59,1,6,Electronics,DS,7.0,1,0
6.59,1,6,Electronics,WEB,6.0,2,1
6.59,1,6,Electronics,CYB,7.0,1,0
6.59,1,6,Electronics,CLOUD,6.5,1,1
5.43,2,6,Electronics,AIML,7.5,0,0
5.43,2,6,Electronics,DS,7.0,1,0
5.43,2,6,Electronics,WEB,6.0,2,0
5.43,2,6,Electronics,CYB,7.0,1,0
5.43,2,6,Electronics,CLOUD,6.5,1,0
4.88,1,3,Electronics,AIML,7.5,0,0
4.88,1,3,Electronics,DS,7.0,1,0
4.88,1,3,Electronics,WEB,6.0,2,0
4.88,1,3,Electronics,CYB,7.0,1,1
4.88,1,3,Electronics,CLOUD,6.5,1,0
7.32,1,4,Information Technology,AIML,7.5,0,0
7.32,1,4,Information Technology,DS,7.0,1,1
7.32,1,4,Information Technology,WEB,6.0,2,1
7.32,1,4,Information Technology,CYB,7.0,1,1
7.32,1,4,Information Technology,CLOUD,6.5,1,1
9.38,3,6,Electronics,AIML,7.5,0,0
9.38,3,6,Electronics,DS,7.0,1,0
9.38,3,6,Electronics,WEB,6.0,2,0
9.38,3,6,Electronics,CYB,7.0,1,0
9.38,3,6,Electronics,CLOUD,6.5,1,0
7.08,0,7,Computer Science,AIML,7.5,0,0
7.08,0,7,Computer Science,DS,7.0,1,1
7.08,0,7,Computer Science,WEB,6.0,2,1
7.08,0,7,Computer Science,CYB,7.0,1,1
7.08,0,7,Computer Science,CLOUD,6.5,1,1
4.37,0,7,Mechanical,AIML,7.5,0,0
4.37,0,7,Mechanical,DS,7.0,1,0
4.37,0,7,Mechanical,WEB,6.0,2,0
4.37,0,7,Mechanical,CYB,7.0,1,0
4.37,0,7,Mechanical,CLOUD,6.5,1,0
6.89,0,8,Information Technology,AIML,7.5,0,1
6.89,0,8,Information Technology,DS,7.0,1,0
6.89,0,8,Information Technology,WEB,6.0,2,1
6.89,0,8,Information Technology,CYB,7.0,1,0
6.89,0,8,Information Technology,CLOUD,6.5,1,1
6.47,0,7,Computer Science,AIML,7.5,0,0
6.47,0,7,Computer Science,DS,7.0,1,0
6.47,0,7,Computer Science,WEB,6.0,2,1
6.47,0,7,Computer Science,CYB,7.0,1,0
6.47,0,7,Computer Science,CLOUD,6.5,1,0
5.94,2,5,Computer Science,AIML,7.5,0,0
5.94,2,5,Computer Science,DS,7.0,1,0
5.94,2,5,Computer Science,WEB,6.0,2,0
5.94,2,5,Computer Science,CYB,7.0,1,0
5.94,2,5,Computer Science,CLOUD,6.5,1,0
7.27,0,5,Mechanical,AIML,7.5,0,0
7.27,0,5,Mechanical,DS,7.0,1,1
7.27,0,5,Mechanical,WEB,6.0,2,1
7.27,0,5,Mechanical,CYB,7.0,1,1
7.27,0,5,Mechanical,CLOUD,6.5,1,1
8.01,0,7,Mechanical,AIML,7.5,0,1
8.01,0,7,Mechanical,DS,7.0,1,1
8.01,0,7,Mechanical,WEB,6.0,2,1
8.01,0,7,Mechanical,CYB,7.0,1,1
8.01,0,7,Mechanical,CLOUD,6.5,1,1
7.8,0,5,Information Technology,AIML,7.5,0,1
7.8,0,5,Information Technology,DS,7.0,1,1
7.8,0,5,Information Technology,WEB,6.0,2,1
7.8,0,5,Information Technology,CYB,7.0,1,1
7.8,0,5,Information Technology,CLOUD,6.5,1,1
9.3,2,4,Mechanical,AIML,7.5,0,0
9.3,2,4,Mechanical,DS,7.0,1,0
9.3,2,4,Mechanical,WEB,6.0,2,1
9.3,2,4,Mechanical,CYB,7.0,1,0
9.3,2,4,Mechanical,CLOUD,6.5,1,0
6.42,0,6,Electronics,AIML,7.5,0,0
6.42,0,6,Electronics,DS,7.0,1,0
6.42,0,6,Electronics,WEB,6.0,2,1
6.42,0,6,Electronics,CYB,7.0,1,0
6.42,0,6,Electronics,CLOUD,6.5,1,0
7.35,0,7,Electronics,AIML,7.5,0,0
7.35,0,7,Electronics,DS,7.0,1,1
7.35,0,7,Electronics,WEB,6.0,2,1
7.35,0,7,Electronics,CYB,7.0,1,1
7.35,0,7,Electronics,CLOUD,6.5,1,1
6.16,0,4,Mechanical,AIML,7.5,0,0
6.16,0,4,Mechanical,DS,7.0,1,0
6.16,0,4,Mechanical,WEB,6.0,2,1
6.16,0,4,Mechanical,CYB,7.0,1,0
6.16,0,4,Mechanical,CLOUD,6.5,1,0
6.32,0,6,Mechanical,AIML,7.5,0,0
6.32,0,6,Mechanical,DS,7.0,1,0
6.32,0,6,Mechanical,WEB,6.0,2,1
6.32,0,6,Mechanical,CYB,7.0,1,0
6.32,0,6,Mechanical,CLOUD,6.5,1,1
7.35,3,5,Civil,AIML,7.5,0,0
